Country Name,Country Code,Score
Northern Mariana Islands,MNP,N/A
Norway,NOR,20
Oman,OMN,1.82
Pakistan,PAK,82.73
Palau,PLW,N/A
Panama,PAN,68.64
Papua New Guinea,PNG,N/A
Paraguay,PRY,66.82
Peru,PER,70.91
Philippines,PHL,93.64
Poland,POL,34.55
Portugal,PRT,65
Puerto Rico (US),PRI,9.09
Qatar,QAT,4.55
Republic of Congo,COG,N/A
Romania,ROU,35.91
Russian Federation,RUS,62.27
Rwanda,RWA,N/A
Samoa,WSM,N/A
San Marino,SMR,N/A
Sao Tome and Principe,STP,N/A
Saudi Arabia,SAU,2.73
Senegal,SEN,N/A
Serbia,SRB,70
Seychelles,SYC,N/A
Sierra Leone,SLE,N/A
Singapore,SGP,88.18
Sint Maarten (Dutch part),SXM,N/A
Slovak Republic,SVK,50
Slovenia,SVN,48.64
Solomon Islands,SLB,N/A
Somalia,SOM,N/A
South Africa,ZAF,0
South Sudan,SSD,N/A
Spain,ESP,25.45
Sri Lanka,LKA,99.09
St. Kitts and Nevis,KNA,N/A
St. Lucia,LCA,N/A
St. Martin (French part),MAF,N/A
St. Vincent and the Grenadines,VCT,N/A
Sudan,SDN,N/A
Suriname,SUR,N/A
Sweden,SWE,16.36
Switzerland,CHE,42.27
Syria,SYR,N/A
Tajikistan,TJK,42.27
Tanzania,TZA,N/A
Thailand,THA,89.09
The Bahamas,BHS,N/A
The Gambia,GMB,N/A
Timor-Leste,TLS,N/A
Togo,TGO,N/A
Tonga,TON,N/A
Trinidad and Tobago,TTO,N/A
Tunisia,TUN,52.27
Turkiye,TUR,11.82
Turkmenistan,TKM,N/A
Turks and Caicos Islands,TCA,N/A
Tuvalu,TUV,N/A
Uganda,UGA,N/A
Ukraine,UKR,52.27
United Arab Emirates,ARE,12.73
United Kingdom,GBR,20
United States,USA,0.91
Uruguay,URY,59.09
Uzbekistan,UZB,59.09
Vanuatu,VUT,N/A
Venezuela,VEN,72.73
Viet Nam,VNM,91.82
Virgin Islands (U.S.),VIR,N/A
West Bank and Gaza,PSE,7.73
Yemen,YEM,N/A
Zambia,ZMB,N/A
Zimbabwe,ZWE,30.91
